epoch_idx	precision_5	recall_5	ndcg_5	precision_10	recall_10	ndcg_10
10.0	0.1977628618478775	0.042760930955410004	0.20234334647073793	0.18836688995361328	0.07929425686597824	0.19979981022050133
20.0	0.2460850179195404	0.05457218363881111	0.2638064510719062	0.21208053827285767	0.0916743203997612	0.23994822260055076
30.0	0.28814318776130676	0.06508026272058487	0.30767256344991906	0.24384787678718567	0.10817816853523254	0.2772121475066321
40.0	0.2930648624897003	0.06512515246868134	0.30599589970717095	0.24899329245090485	0.10970112681388855	0.2776090911661974
50.0	0.2823266386985779	0.0614367239177227	0.2946642495922452	0.2501118779182434	0.10941265523433685	0.2745208456390138
60.0	0.2791946232318878	0.06163428723812103	0.2881232290918376	0.2447427362203598	0.10653244704008102	0.26751041522695085
70.0	0.2778523564338684	0.06137479096651077	0.28486485899409614	0.24496644735336304	0.10539942234754562	0.2659086100794486
80.0	0.27606266736984253	0.06097937002778053	0.2843016642808966	0.24228188395500183	0.10526545345783234	0.2649001459244713
90.0	0.27337807416915894	0.060894884169101715	0.28008304056141486	0.2353467494249344	0.10234887152910233	0.25807018559851613
100.0	0.2671141028404236	0.060054711997509	0.27601295463310793	0.23467563092708588	0.1014617457985878	0.2574176540872869
110.0	0.26308727264404297	0.058860279619693756	0.2713404276086496	0.23489932715892792	0.10318231582641602	0.2558146010193484
120.0	0.25637584924697876	0.058492328971624374	0.2664682344035423	0.2295302152633667	0.10009420663118362	0.25070249879473977
130.0	0.2559284269809723	0.05726069584488869	0.2685157724653707	0.22841161489486694	0.09841296076774597	0.25151147883312946
140.0	0.2487695962190628	0.05446157231926918	0.26554808553915993	0.22796419262886047	0.09876368939876556	0.25184661615462745
